Price,Open,High,Low,Close,Volume
2020-09-15,115.1,115.59,110.51,112.39,184642000
2020-09-16,112.09,112.84,108.98,109.07,154679000
2020-09-17,106.73,109.14,105.74,107.33,178011000
2020-09-18,107.39,107.85,103.2,103.93,287104900
2020-09-21,101.69,107.18,100.29,107.08,195713800
2020-09-22,109.61,109.78,106.18,108.76,183055400
2020-09-23,108.57,109.05,103.86,104.2,150718700
2020-09-24,102.3,107.24,102.14,105.27,167743300
2020-09-25,105.47,109.37,104.73,109.22,149981400
2020-09-28,111.87,112.17,109.7,111.82,137672400
2020-09-29,111.42,112.16,110.47,110.98,99382200
2020-09-30,110.69,114.06,110.52,112.65,142675200
2020-10-01,114.43,114.51,112.67,113.6,116120400
2020-10-02,109.81,112.22,109.16,109.94,144712000
2020-10-05,110.8,113.47,110.45,113.32,106243800
2020-10-06,112.54,112.95,109.19,110.07,161498200
2020-10-07,111.49,112.4,111.02,111.94,96849000
2020-10-08,113.08,113.22,111.46,111.83,83477200
2020-10-09,112.13,113.81,111.78,113.78,100506900
2020-10-12,116.78,121.76,116.03,121.01,240226800
2020-10-13,121.85,121.97,116.39,117.8,262330500
2020-10-14,117.7,119.67,116.36,117.88,150712000
2020-10-15,115.48,117.89,114.93,117.42,112559200
2020-10-16,117.97,118.23,115.57,115.77,115393800
2020-10-19,116.69,117.13,112.5,112.82,120639300
2020-10-20,113.03,115.73,112.48,114.3,124423700
2020-10-21,113.49,115.47,113.27,113.68,89946000
2020-10-22,114.25,114.82,111.46,112.59,101988000
2020-10-23,113.21,113.37,111.16,111.9,82572600
2020-10-26,110.9,113.37,109.8,111.91,111850700
2020-10-27,112.34,114.08,111.42,113.42,92276800
2020-10-28,111.91,112.28,108.07,108.17,143937800
2020-10-29,109.3,113.74,109.14,112.17,146129200
2020-10-30,108.03,108.93,104.78,105.89,190272600
2020-11-02,106.13,107.66,104.39,105.8,122866900
2020-11-03,106.67,108.45,105.76,107.43,107624400
2020-11-04,111.03,112.44,109.28,111.81,138235500
2020-11-05,114.73,116.36,113.68,115.78,126387100
2020-11-06,115.29,116.15,113.16,115.65,114457900
2020-11-09,117.41,118.87,113.08,113.34,154515300
2020-11-10,112.59,114.58,111.21,113.0,138023400
2020-11-11,114.19,116.57,113.46,116.43,112295000
2020-11-12,116.56,117.44,115.53,116.16,103162300
2020-11-13,116.38,116.61,114.85,116.21,81581900
2020-11-16,115.88,117.89,115.12,117.22,91183000
2020-11-17,116.49,117.58,115.91,116.33,74271000
2020-11-18,115.57,116.75,114.98,115.01,76322100
2020-11-19,114.58,116.01,113.82,115.6,74113000
2020-11-20,115.6,115.73,114.29,114.34,73604300
2020-11-23,114.18,114.61,110.84,110.93,127959300
2020-11-24,110.99,112.88,109.71,112.22,113874200
2020-11-25,112.59,113.76,112.22,113.06,76499200
2020-11-27,113.59,114.48,113.24,113.6,46691300
2020-11-30,113.98,117.87,113.82,116.0,169410200
2020-12-01,117.91,120.31,116.94,119.58,127728200
2020-12-02,118.9,120.21,117.79,119.93,89004200
2020-12-03,120.36,120.61,119.08,119.79,78967600
2020-12-04,119.46,119.71,118.41,119.12,78260400
2020-12-07,119.18,121.38,119.12,120.58,86712000
2020-12-08,121.19,121.78,119.94,121.2,82225500
2020-12-09,121.34,122.73,117.9,118.66,115089200
2020-12-10,117.41,120.7,117.07,120.08,81312200
2020-12-11,119.3,119.62,117.46,119.28,86939800
2020-12-14,119.46,120.19,118.43,118.66,79184500
2020-12-15,121.16,124.63,120.95,124.61,157243700
2020-12-16,124.15,125.08,123.32,124.54,98208600
2020-12-17,125.6,126.26,124.76,125.4,94359800
2020-12-18,125.66,125.79,122.89,123.42,192541500
2020-12-21,121.82,125.02,120.29,124.95,121251600
2020-12-22,128.24,130.97,126.33,128.5,168904800
2020-12-23,128.78,129.04,127.43,127.61,88223700
2020-12-24,127.96,130.04,127.74,128.59,54930100
2020-12-28,130.56,133.82,130.09,133.19,124486200
2020-12-29,134.52,135.24,130.9,131.42,121047300
2020-12-30,132.11,132.51,129.98,130.3,96452100
2020-12-31,130.65,131.29,128.35,129.29,99116600
2021-01-04,130.1,130.19,123.51,126.1,143301900
2021-01-05,125.59,128.37,125.14,127.66,97664900
2021-01-06,124.45,127.69,123.14,123.36,155088000
2021-01-07,125.07,128.26,124.59,127.57,109578200
2021-01-08,129.04,129.23,126.9,128.67,105158200
2021-01-11,125.88,126.84,125.21,125.68,100384500
2021-01-12,125.21,126.37,123.61,125.5,91951100
2021-01-13,125.46,128.08,125.2,127.54,88636800
2021-01-14,127.45,127.65,125.46,125.61,90221800
2021-01-15,125.48,126.89,123.75,123.88,111598500
2021-01-19,124.51,125.41,123.69,124.56,90757300
2021-01-20,125.37,129.1,125.26,128.65,104319500
2021-01-21,130.37,136.09,130.17,133.37,120150900
2021-01-22,132.79,136.27,131.56,135.51,114459400
2021-01-25,139.41,141.38,133.04,139.26,157611700
2021-01-26,139.92,140.61,137.75,139.49,98390600
2021-01-27,139.76,140.61,136.81,138.42,140843800
2021-01-28,135.95,138.35,133.2,133.58,142621100
2021-01-29,132.35,133.24,126.88,128.58,177523800
2021-02-01,130.33,131.91,127.58,130.71,106239800
2021-02-02,132.25,132.82,131.16,131.53,83305400
2021-02-03,132.28,132.29,130.19,130.51,89880900
2021-02-04,132.81,133.88,131.14,133.87,84183100
2021-02-05,134.03,134.1,132.58,133.46,75693800
2021-02-08,132.75,133.65,131.66,133.6,71297200
2021-02-09,133.32,134.55,132.57,132.73,76774200
2021-02-10,133.18,133.68,131.15,132.12,73046600
2021-02-11,132.62,133.1,130.54,131.87,64280000
2021-02-12,131.11,132.26,130.46,132.1,60145100
2021-02-16,132.22,132.73,129.58,129.97,80576300
2021-02-17,128.08,129.03,126.34,127.68,97918500
2021-02-18,126.08,126.86,124.33,126.58,96856700
2021-02-19,127.09,127.55,125.69,126.73,87668800
2021-02-22,124.92,126.59,122.57,122.96,103916400
2021-02-23,120.77,123.65,115.53,122.82,158273000
2021-02-24,121.92,122.53,119.28,122.32,111039900
2021-02-25,121.67,123.41,117.63,118.07,148199500
2021-02-26,119.63,121.84,118.27,118.33,164560400
2021-03-01,120.76,124.84,119.82,124.7,116307900
2021-03-02,125.31,125.61,121.99,122.1,102260900
2021-03-03,121.8,122.67,118.9,119.11,112966300
2021-03-04,118.81,120.62,115.76,117.23,178155000
2021-03-05,118.06,119.0,114.73,118.49,153766600
2021-03-08,118.01,118.08,113.4,113.55,154376600
2021-03-09,116.16,119.11,115.92,118.17,129525800
2021-03-10,118.75,119.22,116.57,117.08,111943300
2021-03-11,119.58,120.23,118.33,119.01,103026500
2021-03-12,117.49,118.24,116.28,118.11,88105100
2021-03-15,118.48,121.01,117.51,121.0,92403800
2021-03-16,122.66,124.15,121.71,122.54,115227900
2021-03-17,121.05,122.82,119.39,121.75,111932600
2021-03-18,119.91,120.21,117.41,117.62,121229700
2021-03-19,117.0,118.5,116.79,117.09,185549500
2021-03-22,117.42,120.88,117.36,120.41,111912300
2021-03-23,120.35,121.24,119.19,119.58,95467100
2021-03-24,119.85,119.93,117.17,117.19,88530500
2021-03-25,116.65,118.72,116.13,117.68,98844700
2021-03-26,117.44,118.55,116.05,118.28,94071200
2021-03-29,118.71,119.62,117.81,118.46,80819200
2021-03-30,117.21,117.49,115.99,117.0,85671900
2021-03-31,118.71,120.54,118.22,119.2,118323800
2021-04-01,120.67,121.18,119.53,120.03,75089100
2021-04-05,120.88,123.11,120.1,122.86,88651200
2021-04-06,123.45,124.06,122.62,123.16,80171300
2021-04-07,122.79,124.83,122.12,124.81,83466700
2021-04-08,125.84,127.24,125.42,127.21,88844600
2021-04-09,126.67,129.83,126.34,129.79,106686700
2021-04-12,129.32,129.64,127.48,128.07,91420000
2021-04-13,129.24,131.41,128.74,131.18,91266500
2021-04-14,131.68,131.74,128.48,128.84,87222800
2021-04-15,130.59,131.74,130.41,131.25,89347100
2021-04-16,131.06,131.42,130.06,130.92,84922400
2021-04-19,130.29,132.2,130.12,131.58,94264200
2021-04-20,131.76,132.26,128.63,129.9,94812300
2021-04-21,129.16,130.52,128.13,130.28,68847100
2021-04-22,129.83,130.91,128.24,128.75,84566500
2021-04-23,128.97,131.86,128.97,131.08,78657500
2021-04-26,131.57,131.8,130.33,131.47,66905100
2021-04-27,131.75,132.14,130.87,131.14,66015800
2021-04-28,131.07,131.76,129.87,130.35,107760100
2021-04-29,133.17,133.76,129.25,130.26,151101000
2021-04-30,128.6,130.33,127.9,128.29,109839500
2021-05-03,128.85,130.83,128.65,129.34,75135100
2021-05-04,128.02,128.31,123.64,124.76,137564700
2021-05-05,126.08,127.3,124.88,125.01,84000900
2021-05-06,124.8,126.62,124.06,126.61,78128300
2021-05-07,127.91,128.31,126.57,127.28,78973300
2021-05-10,126.5,126.63,123.96,124.0,88071200
2021-05-11,120.72,123.43,120.01,123.08,126142800
2021-05-12,120.62,121.84,119.5,120.01,112172300
2021-05-13,121.78,123.31,121.47,122.16,105861300
2021-05-14,123.41,125.01,123.02,124.58,81918000
2021-05-17,123.97,124.08,122.35,123.43,74244600
2021-05-18,123.71,124.13,121.97,122.04,63342900
2021-05-19,120.39,122.11,120.1,121.89,92612000
2021-05-20,122.41,124.85,122.29,124.45,76857100
2021-05-21,124.95,125.12,122.39,122.61,79295400
2021-05-24,123.18,125.06,123.11,124.24,63092900
2021-05-25,124.95,125.43,123.48,124.05,72009500
2021-05-26,124.1,124.52,123.58,124.0,56575900
2021-05-27,123.6,124.77,122.27,122.46,94625600
2021-05-28,122.75,122.97,121.75,121.81,71311100
2021-06-01,122.27,122.53,121.15,121.48,67637100
2021-06-02,121.48,122.42,121.26,122.25,59278900
2021-06-03,121.88,122.04,120.36,120.76,76229200
2021-06-04,121.28,123.32,121.06,123.06,75169300
2021-06-07,123.33,123.48,122.02,123.07,71057600
2021-06-08,123.75,125.57,123.37,123.89,74403800
2021-06-09,124.35,124.88,123.67,124.27,56877900
2021-06-10,124.16,125.31,123.11,123.27,71186400
2021-06-11,123.68,124.57,123.26,124.49,53522400
2021-06-14,124.95,127.6,124.21,127.55,96906500
2021-06-15,127.02,127.66,126.48,126.72,62746300
2021-06-16,127.44,127.95,125.57,127.22,91815000
2021-06-17,126.88,129.57,126.73,128.83,96721700
2021-06-18,127.77,128.55,127.31,127.53,108953300
2021-06-21,127.37,129.43,126.3,129.32,79663300
2021-06-22,129.16,131.06,128.66,130.97,74783600
2021-06-23,130.76,131.3,130.23,130.69,60214200
2021-06-24,131.43,131.61,129.94,130.41,68711000
2021-06-25,130.46,130.88,129.82,130.12,70783700
2021-06-28,130.41,132.21,130.35,131.75,62111300
2021-06-29,131.77,133.42,131.33,133.26,64556100
2021-06-30,133.11,134.32,132.81,133.88,63261400
2021-07-01,133.53,134.24,132.71,134.18,52485800
2021-07-02,134.8,136.85,134.65,136.81,78852600
2021-07-06,136.92,139.93,136.92,138.83,108181800
2021-07-07,140.31,141.63,139.45,141.32,104911600
2021-07-08,138.4,140.82,137.51,140.02,105575500
2021-07-09,139.54,142.37,139.44,141.85,99890800
2021-07-12,142.92,143.03,140.76,141.25,76299700
2021-07-13,140.79,144.14,140.4,142.36,100827100
2021-07-14,144.77,146.21,144.36,145.8,127050800
2021-07-15,145.88,146.63,143.78,145.14,106820300
2021-07-16,145.12,146.39,142.6,143.1,93251400
2021-07-19,140.52,140.83,138.48,139.25,121434600
2021-07-20,140.23,143.79,139.74,142.86,96350000
2021-07-21,142.26,142.84,141.38,142.13,74993500
2021-07-22,142.66,144.87,142.53,143.5,77338200
2021-07-23,144.23,145.38,143.62,145.22,71447400
2021-07-26,144.94,146.46,144.38,145.64,72434100
2021-07-27,145.77,145.85,142.28,143.47,104818600
2021-07-28,141.55,143.66,139.33,141.72,118931200
2021-07-29,141.44,143.25,141.33,142.36,56699500
2021-07-30,141.13,143.04,140.87,142.58,70440600
2021-08-02,143.07,143.64,141.98,142.25,62880000
2021-08-03,142.53,144.71,141.91,144.05,64786600
2021-08-04,143.96,144.47,142.99,143.65,56368300
2021-08-05,143.67,144.52,142.88,143.75,46397700
2021-08-06,143.27,144.02,142.57,143.07,54126800
2021-08-09,143.13,143.62,142.46,143.02,48908700
2021-08-10,143.36,144.6,142.24,142.54,69023100
2021-08-11,142.98,143.64,142.47,142.79,48493500
2021-08-12,143.12,145.92,142.77,145.76,72282600
2021-08-13,145.84,146.3,145.15,145.97,59375000
2021-08-16,145.42,148.01,143.39,147.94,103296000
2021-08-17,147.07,148.49,145.96,147.03,92229700
2021-08-18,146.65,147.55,143.08,143.28,86326000
2021-08-19,141.98,144.89,141.46,143.62,86960300
2021-08-20,144.34,145.38,143.69,145.07,60549600
2021-08-23,145.19,147.03,144.78,146.56,60131800
2021-08-24,146.31,147.69,146.01,146.47,48606400
2021-08-25,146.66,147.16,144.69,145.24,58991300
2021-08-26,145.23,145.98,144.41,144.44,48597200
2021-08-27,144.38,145.62,143.74,145.48,55802400
2021-08-30,145.87,150.26,145.49,149.9,90956700
2021-08-31,149.45,149.59,148.11,148.64,86453100
2021-09-01,149.62,151.72,149.14,149.3,80313700
2021-09-02,150.63,151.47,149.2,150.42,71115500
2021-09-03,150.53,151.38,149.87,151.06,57808700
2021-09-07,151.71,153.95,151.14,153.4,82278300
2021-09-08,153.68,153.74,150.74,151.85,74420200
2021-09-09,152.22,152.83,150.71,150.83,57305700
2021-09-10,151.74,152.21,145.57,145.84,140893200
2021-09-13,147.46,148.24,145.62,146.41,102404300
2021-09-14,147.19,147.89,143.82,145.01,109296300
2021-09-15,145.44,146.3,143.29,145.9,83281300
2021-09-16,145.32,145.84,144.12,145.66,68034100
2021-09-17,145.69,145.69,142.7,142.99,129868800
2021-09-20,140.78,141.79,138.3,139.93,123478900
2021-09-21,140.9,141.56,139.78,140.41,75834000
2021-09-22,141.41,143.35,140.68,142.78,76404300
2021-09-23,143.57,143.99,142.58,143.74,64838200
2021-09-24,142.6,144.37,142.5,143.83,53477900
2021-09-27,142.41,142.89,140.8,142.31,74150700
2021-09-28,140.24,141.71,138.71,138.93,108972300
2021-09-29,139.47,141.41,139.04,139.83,74602000
2021-09-30,140.64,141.34,138.31,138.52,89056700
2021-10-01,138.92,139.91,136.19,139.65,94639600
2021-10-04,138.78,139.22,135.36,136.21,98322000
2021-10-05,136.56,139.25,136.43,138.14,80861100
2021-10-06,136.54,139.16,135.46,139.01,83221100
2021-10-07,140.05,141.19,139.72,140.28,61732700
2021-10-08,141.0,141.15,139.56,139.9,58773200
2021-10-11,139.28,141.77,138.83,139.81,64452200
2021-10-12,140.22,140.24,138.07,138.53,73035900
2021-10-13,138.27,138.43,136.27,137.95,78762700
2021-10-14,139.12,140.85,138.53,140.74,69907100
2021-10-15,140.75,141.85,140.49,141.79,67940300
2021-10-18,140.43,143.75,140.15,143.47,85589200
2021-10-19,143.92,146.03,143.47,145.63,76378900
2021-10-20,145.57,146.6,145.01,146.12,58418800
2021-10-21,145.68,146.49,144.76,146.34,61421000
2021-10-22,146.54,147.02,145.51,145.56,58883400
2021-10-25,145.55,146.23,144.52,145.51,50720600
2021-10-26,146.19,147.67,145.88,146.18,60893400
2021-10-27,146.22,146.58,145.37,145.72,56094900
2021-10-28,146.67,149.95,146.57,149.36,100077900
2021-10-29,144.12,146.79,143.33,146.65,124953200
2021-11-01,145.86,146.55,144.69,145.83,74588300
2021-11-02,145.53,148.38,145.52,146.87,69122000
2021-11-03,147.23,148.77,146.67,148.3,54511500
2021-11-04,148.39,149.23,147.47,147.79,60394600
2021-11-05,148.91,149.22,147.12,148.32,65463900
2021-11-08,148.44,148.6,147.22,147.49,55020900
2021-11-09,147.26,148.46,147.12,147.85,56787900
2021-11-10,147.08,147.19,144.95,145.02,65187100
2021-11-11,146.04,146.5,144.79,144.97,41000000
2021-11-12,145.52,147.45,144.59,147.05,63804000
2021-11-15,147.42,148.9,146.5,147.06,59222800
2021-11-16,147.0,148.52,146.41,148.04,59256200
2021-11-17,148.04,151.96,148.03,150.48,88807000
2021-11-18,150.7,155.56,150.05,154.78,137827700
2021-11-19,154.56,157.86,153.46,157.4,117305600
2021-11-22,158.51,162.45,157.84,157.86,117467900
2021-11-23,157.96,158.63,155.94,158.25,96041900
2021-11-24,157.6,158.96,156.51,158.77,69463600
2021-11-26,156.44,157.31,153.3,153.74,76959800
2021-11-29,156.25,158.03,155.68,157.1,88748200
2021-11-30,156.85,162.28,156.79,162.06,174048100
2021-12-01,164.2,166.96,161.31,161.54,152052500
2021-12-02,155.63,160.98,154.71,160.55,136739200
2021-12-03,160.81,161.73,156.59,158.67,118023100
2021-12-06,161.07,164.59,161.06,162.08,107497000
2021-12-07,165.77,168.22,165.04,167.83,120405400
2021-12-08,168.76,172.51,167.35,171.65,116998900
2021-12-09,171.48,173.29,170.51,171.14,108923700
2021-12-10,171.78,176.11,171.27,175.93,115402700
2021-12-13,177.57,178.56,172.09,172.3,153237000
2021-12-14,171.82,174.26,168.84,170.91,139380400
2021-12-15,171.68,175.98,168.93,175.79,131063300
2021-12-16,175.77,177.59,167.4,168.88,150185800
2021-12-17,166.6,170.07,166.36,167.79,195432700
2021-12-20,164.98,167.24,164.18,166.42,107499100
2021-12-21,168.2,169.81,165.81,169.6,91185900
2021-12-22,169.65,172.41,168.78,172.2,92135300
2021-12-23,172.4,173.38,171.84,172.83,68356600
2021-12-27,173.62,176.88,173.6,176.8,74919600
2021-12-28,176.63,177.78,175.03,175.78,79144300
2021-12-29,175.82,177.09,174.65,175.86,62348900
2021-12-30,175.95,177.03,174.6,174.71,59773000
2021-12-31,174.6,175.72,173.79,174.09,64062300
2022-01-03,174.35,179.3,174.23,178.44,104487900
2022-01-04,179.05,179.35,175.61,176.18,99310400
2022-01-05,176.09,176.64,171.22,171.49,94537600
2022-01-06,169.32,171.86,168.28,168.63,96904000
2022-01-07,169.5,170.73,167.68,168.8,86709100
2022-01-10,165.77,169.12,164.87,168.82,106765600
2022-01-11,168.94,171.75,167.47,171.65,76138300
2022-01-12,172.67,173.71,171.39,172.09,74805200
2022-01-13,172.34,173.16,168.42,168.82,84505800
2022-01-14,167.98,170.37,167.74,169.68,80440800
